Item Code,Name,Icon URL,Thumbnail URL
"DUN CHAR103","Wanderlust Trio","https://drive.google.com/drive/folders/1zQpsOMv1wKPotFPFgr_YAOy6h4fXbDkt?usp=drive_link","https://drive.google.com/drive/folders/1zQpsOMv1wKPotFPFgr_YAOy6h4fXbDkt?usp=drive_link"
"DUN CHAR104","Palm Paradise Charm","https://drive.google.com/drive/folders/1KyVb0rgB69hXsipBF3bUyJvVnBFysoja?usp=drive_link","https://drive.google.com/drive/folders/1KyVb0rgB69hXsipBF3bUyJvVnBFysoja?usp=drive_link"
"DUN CHAR105","Sunny Fish Charm","https://drive.google.com/drive/folders/1pvU2vktJPdEInDk-jp3KJ_yPa7jSdiyq?usp=drive_link","https://drive.google.com/drive/folders/1pvU2vktJPdEInDk-jp3KJ_yPa7jSdiyq?usp=drive_link"
"DUN CHAR106","Lustrous Pearl Charm","https://drive.google.com/drive/folders/1FWl3hs2YFVbtRsI3YJHmzE0vZuF8hJnh?usp=drive_link","https://drive.google.com/drive/folders/1FWl3hs2YFVbtRsI3YJHmzE0vZuF8hJnh?usp=drive_link"
"DUN CHAR107","Golden Conch Charm","https://drive.google.com/drive/folders/1snUL-Nxf82DTIs1sH5iTCVpa4ZSQ4B8s?usp=drive_link","https://drive.google.com/drive/folders/1snUL-Nxf82DTIs1sH5iTCVpa4ZSQ4B8s?usp=drive_link"
"DUN CHAR108","Golden Palm Charm","https://drive.google.com/drive/folders/1vRGk2iNvmXWOzGbnHIFk2V3xNNKz4Drn?usp=drive_link","https://drive.google.com/drive/folders/1vRGk2iNvmXWOzGbnHIFk2V3xNNKz4Drn?usp=drive_link"
"DUN CHAR109","Midnight Palm Charm","https://drive.google.com/drive/folders/1bZg_wGHMdHhOQMHco6ZxjgOl-0y6mLgR?usp=drive_link","https://drive.google.com/drive/folders/1bZg_wGHMdHhOQMHco6ZxjgOl-0y6mLgR?usp=drive_link"
"DUN CHAR11","Pink Smash Charm","https://drive.google.com/drive/folders/1Y9uvl9SItC4g2ffw5HYeuG3D3LTXBj27?usp=drive_link","https://drive.google.com/drive/folders/1Y9uvl9SItC4g2ffw5HYeuG3D3LTXBj27?usp=drive_link"
"DUN CHAR110","Pink Lagoon Charm","https://drive.google.com/drive/folders/11Y29FoFmrmz_jvNgbXhqEVtk16Wcaq3J?usp=drive_link","https://drive.google.com/drive/folders/11Y29FoFmrmz_jvNgbXhqEVtk16Wcaq3J?usp=drive_link"
"DUN CHAR111","Aurora Fish Charm","https://drive.google.com/drive/folders/1apGbQF3iRRxntksOXG8y-RTgdRzxRbp6?usp=drive_link","https://drive.google.com/drive/folders/1apGbQF3iRRxntksOXG8y-RTgdRzxRbp6?usp=drive_link"
"DUN CHAR112","Pearl Fish Charm 🐟✨","https://drive.google.com/drive/folders/1P5wCVia-mLy5P9reih6XxvdZWSIZsQax?usp=drive_link","https://drive.google.com/drive/folders/1P5wCVia-mLy5P9reih6XxvdZWSIZsQax?usp=drive_link"
"DUN CHAR113","Seafoam Dream Charm 🌊⭐🐠","https://drive.google.com/drive/folders/1r_4LtHK5hMG5jn0tikxA432jT8_ppMrN?usp=drive_link","https://drive.google.com/drive/folders/1r_4LtHK5hMG5jn0tikxA432jT8_ppMrN?usp=drive_link"
"DUN CHAR114","Golden Elephant Charm 🐘✨","https://drive.google.com/drive/folders/15Tvr662XLKz6lCBOqhUtCrQoALSimnbO?usp=drive_link","https://drive.google.com/drive/folders/15Tvr662XLKz6lCBOqhUtCrQoALSimnbO?usp=drive_link"
"DUN CHAR115","Golden Koi Charm","https://drive.google.com/drive/folders/1uCOv-7dsBEoNzLDjWovxGhS-T2_YVcFX?usp=drive_link","https://drive.google.com/drive/folders/1uCOv-7dsBEoNzLDjWovxGhS-T2_YVcFX?usp=drive_link"
"DUN CHAR116","Majestic Koi Charm","https://drive.google.com/drive/folders/1CdsCkOaxPwHyEoV8AdXPTPLHsNt7PFin?usp=drive_link","https://drive.google.com/drive/folders/1CdsCkOaxPwHyEoV8AdXPTPLHsNt7PFin?usp=drive_link"
"DUN CHAR117","V Initial Charm","https://drive.google.com/file/d/1vic1LkxhP5x3hDs_k8-R2l1g5nRCBYCK/view?usp=drive_link","https://drive.google.com/file/d/1vic1LkxhP5x3hDs_k8-R2l1g5nRCBYCK/view?usp=drive_link"
"DUN CHAR118","L Initial Charm","https://drive.google.com/file/d/1mo2Qx4D1seh9U3CcvqIn4a2SvcD7thdE/view?usp=drive_link","https://drive.google.com/file/d/1mo2Qx4D1seh9U3CcvqIn4a2SvcD7thdE/view?usp=drive_link"
"DUN CHAR119","I Initial Charm","https://drive.google.com/file/d/1Oh8J2DE1VFAnQRhP4pt8pdP0hZk7LSqY/view?usp=drive_link","https://drive.google.com/file/d/1Oh8J2DE1VFAnQRhP4pt8pdP0hZk7LSqY/view?usp=drive_link"
"DUN CHAR12","Football Glory Charm","https://drive.google.com/drive/folders/18R-1y3aq1h8enmIHEHz2QbiCj3jrP4Ed?usp=drive_link","https://drive.google.com/drive/folders/18R-1y3aq1h8enmIHEHz2QbiCj3jrP4Ed?usp=drive_link"
"DUN CHAR120","R Initial Charm","https://drive.google.com/file/d/1jiAQCUK9uHnbFEBpfmpOS--tYHJ7dG4Q/view?usp=drive_link","https://drive.google.com/file/d/1jiAQCUK9uHnbFEBpfmpOS--tYHJ7dG4Q/view?usp=drive_link"
"DUN CHAR121","Q Initial Charm","https://drive.google.com/file/d/1q_SFY7xR2fr_Pu-mm8rv7l89uBI0uo0E/view?usp=drive_link","https://drive.google.com/file/d/1q_SFY7xR2fr_Pu-mm8rv7l89uBI0uo0E/view?usp=drive_link"
"DUN CHAR122","K Initial Charm","https://drive.google.com/file/d/1Rm03Ljp3fSzV9taj7IJTE7jLhkEWCaEM/view?usp=drive_link","https://drive.google.com/file/d/1Rm03Ljp3fSzV9taj7IJTE7jLhkEWCaEM/view?usp=drive_link"
"DUN CHAR123","Y Initial Charm","https://drive.google.com/file/d/1rBS_E-0qEDmHEHslSFbhb02knaW3sqWL/view?usp=drive_link","https://drive.google.com/file/d/1rBS_E-0qEDmHEHslSFbhb02knaW3sqWL/view?usp=drive_link"
"DUN CHAR124","Initial Charm","https://drive.google.com/file/d/1h8DegLDhfUkzCXGeB-IyfiStUSAjXN98/view?usp=drive_link","https://drive.google.com/file/d/1h8DegLDhfUkzCXGeB-IyfiStUSAjXN98/view?usp=drive_link"
"DUN CHAR125","Z Initial Charm","https://drive.google.com/file/d/1cwyAQUuIO9uFulUPKJxuXC1dM-VmfiyK/view?usp=drive_link","https://drive.google.com/file/d/1cwyAQUuIO9uFulUPKJxuXC1dM-VmfiyK/view?usp=drive_link"
"DUN CHAR126","H Initial Charm","https://drive.google.com/file/d/1IwiMIsB1fg-XbPs9g_rpf602PDPmZEn5/view?usp=drive_link","https://drive.google.com/file/d/1IwiMIsB1fg-XbPs9g_rpf602PDPmZEn5/view?usp=drive_link"
"DUN CHAR127","M Initial Charm","https://drive.google.com/file/d/1Lmk4W5Et14-Pm_vHk5lSX7jVHe2QyXl_/view?usp=drive_link","https://drive.google.com/file/d/1Lmk4W5Et14-Pm_vHk5lSX7jVHe2QyXl_/view?usp=drive_link"
